Mon Dec 25 19:44:41 2023: Hive (C:\Users\kesha\OneDrive\Desktop\Contemporaneous Notes files\suspected files to link in word\system files\14141-system) is not dirty.

Mon Dec 25 19:44:41 2023: Log opened.
Mon Dec 25 19:44:41 2023: File: C:\Users\kesha\OneDrive\Desktop\Contemporaneous Notes files\suspected files to link in word\system files\14141-system
Mon Dec 25 19:44:41 2023: Environment set up.
Mon Dec 25 19:44:41 2023: Launching ScanButton v.20131210
Mon Dec 25 19:44:41 2023: Launching appcertdlls v.20200427
Mon Dec 25 19:44:42 2023: Launching appcompatcache v.20220921
Mon Dec 25 19:44:42 2023: Launching backuprestore v.20200517
Mon Dec 25 19:44:42 2023: Launching bam v.20200427
Mon Dec 25 19:44:42 2023: Launching bthenum v.20200515
Mon Dec 25 19:44:42 2023: Launching bthport v.20200517
Mon Dec 25 19:44:42 2023: Launching codepage v.20200519
Mon Dec 25 19:44:42 2023: Launching compname v.20090727
Mon Dec 25 19:44:42 2023: Launching cred v.20200427
Mon Dec 25 19:44:42 2023: Launching dafupnp v.20200525
Mon Dec 25 19:44:42 2023: Launching devclass v.20200525
Mon Dec 25 19:44:42 2023: Launching disablelastaccess v.20200517
Mon Dec 25 19:44:42 2023: Launching disableremotescm v.20200513
Mon Dec 25 19:44:42 2023: Launching environment v.20200512
Mon Dec 25 19:44:42 2023: Launching imagedev v.20140104
Mon Dec 25 19:44:42 2023: Launching ips v.20200518
Mon Dec 25 19:44:42 2023: Launching lsa v.20200517
Mon Dec 25 19:44:42 2023: Launching macaddr v.20200515
Mon Dec 25 19:44:42 2023: Launching mountdev v.20200517
Mon Dec 25 19:44:42 2023: Launching mountdev2 v.20200517
Mon Dec 25 19:44:42 2023: Launching netlogon v.20200515
Mon Dec 25 19:44:42 2023: Launching networksetup2 v.20191004
Mon Dec 25 19:44:42 2023: Launching nic2 v.20200525
Mon Dec 25 19:44:42 2023: Launching ntds v.20200427
Mon Dec 25 19:44:42 2023: Launching pagefile v.20140505
Mon Dec 25 19:44:42 2023: Launching pending v.20130711
Mon Dec 25 19:44:42 2023: Launching PortProxy v.20210622
Mon Dec 25 19:44:42 2023: Launching prefetch v.20200515
Mon Dec 25 19:44:42 2023: Launching printmon v.20200427
Mon Dec 25 19:44:42 2023: Launching processor_architecture v.20140505
Mon Dec 25 19:44:42 2023: Launching profiler v.20200525
Mon Dec 25 19:44:42 2023: Launching rdpport v.20200526
Mon Dec 25 19:44:42 2023: Launching remoteaccess v.20200517
Mon Dec 25 19:44:42 2023: Launching routes v.20200526
Mon Dec 25 19:44:42 2023: Launching securityproviders v.20200526
Mon Dec 25 19:44:42 2023: Launching services v.20191024
Mon Dec 25 19:44:43 2023: Launching shares v.20200525
Mon Dec 25 19:44:43 2023: Launching shimcache v.20220921
Mon Dec 25 19:44:43 2023: Launching shutdown v.20200518
Mon Dec 25 19:44:43 2023: Launching source_os v.20200511
Mon Dec 25 19:44:43 2023: Launching svc v.20200525
Mon Dec 25 19:44:43 2023: Launching svcdll v.20200525
Mon Dec 25 19:44:43 2023: Launching termcert v.20200526
Mon Dec 25 19:44:43 2023: Launching termserv v.20200506
Mon Dec 25 19:44:43 2023: Launching timezone v.20200518
Mon Dec 25 19:44:43 2023: Launching usb v.20200515
Mon Dec 25 19:44:43 2023: Launching usbdevices v.20200525
Mon Dec 25 19:44:44 2023: Launching usbstor v.20200515
Mon Dec 25 19:44:44 2023: Launching wpdbusenum v.20200515
